OBS_Name,Parent_OBS_Name
Project Management Office,Tamor Energy
TBM Department,Project Management Office
"Dam, Powerhouse-Surge Shaft & Other Component Construction Department",Project Management Office
Plant Department,Project Management Office
HSE Department,Project Management Office
Quality Assurance/Quality Control Department,Project Management Office
Procurement Department,Project Management Office
Technical Department,Project Management Office
"Admin, Finance & HR Department",Project Management Office
Survy Department,Project Management Office
